                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80718,                 1.2792,                 1.6047,                 1.1445,                0.95294,                      1,                   0.97,                0.74818,                0.95294,                      1,                   0.97,                0.88003,                0.69387,                 1.0964,                 2.0449,                 1.1453,             0.00065942,             0.00065942,             0.00065942
                      2,                0.74732,                0.89437,                 1.0943,                  1.084,                0.90834,                      1,                0.98971,                0.75929,                0.90834,                      1,                0.98971,                0.87853,                0.80542,                0.91734,                 1.1387,                 1.3682,              0.0012604,              0.0012604,              0.0012604
                      3,                0.76432,                0.83547,                 1.0272,                 1.0914,                0.96319,                      1,                0.99312,                0.82598,                0.96319,                      1,                0.99312,                0.84133,                0.73697,                0.84875,                 1.0797,                 1.3156,              0.0017955,              0.0017955,              0.0017955
                      4,                0.80978,                0.89265,                0.97669,                 1.1241,                      1,                0.95656,                0.98663,                0.78336,                      1,                0.95656,                0.99157,                0.88566,                0.78512,                0.61471,                0.99376,                 1.2282,               0.001703,               0.001703,               0.001703
                      5,                0.75812,                0.83304,                0.84397,                 1.0888,                0.99725,                      1,                  0.995,                0.85052,                0.99725,                      1,                  0.995,                0.91742,                0.66423,                0.69385,                0.74814,                 1.1305,               0.001604,               0.001604,               0.001604
                      6,                0.70276,                0.75756,                0.75129,                 1.0644,                      1,                0.99752,                  0.995,                0.85631,                      1,                0.99752,                  0.995,                0.92981,                0.63491,                 0.7807,                0.63572,                 1.1028,               0.001505,               0.001505,               0.001505
                      7,                0.64828,                0.76993,                0.66739,                 1.0125,                      1,                0.92934,                0.98552,                0.84828,                0.98342,                0.96774,                0.98825,                0.94158,                0.55513,                0.62986,                0.65469,                  1.053,               0.001406,               0.001406,               0.001406
                      8,                0.62341,                0.66825,                0.62703,                 1.0119,                      1,                0.99736,                  0.995,                0.88712,                      1,                0.99736,                  0.995,                0.93603,                0.50344,                0.59458,                 0.4825,                 1.0149,               0.001307,               0.001307,               0.001307
                      9,                0.63116,                0.72949,                0.60496,                 1.0144,                0.99794,                      1,                  0.995,                0.91842,                0.99794,                      1,                  0.995,                0.96825,                0.44617,                0.48881,                0.44853,                0.94274,               0.001208,               0.001208,               0.001208
                     10,                0.59593,                0.67763,                0.56095,                0.99371,                      1,                0.99603,                  0.995,                0.87502,                      1,                0.99603,                  0.995,                0.95792,                0.47313,                0.43266,                0.45825,                0.96968,               0.001109,               0.001109,               0.001109
                     11,                0.51053,                0.50932,                0.54726,                0.99511,                0.99691,                      1,                  0.995,                0.90089,                0.99691,                      1,                  0.995,                0.96668,                 0.4671,                0.43855,                0.43229,                0.95187,                0.00101,                0.00101,                0.00101
                     12,                0.48807,                0.50875,                0.50704,                 1.0049,                      1,                0.99822,                  0.995,                0.88561,                      1,                0.99822,                  0.995,                0.95107,                0.47227,                0.41278,                0.44379,                0.97086,               0.000911,               0.000911,               0.000911
                     13,                0.45665,                 0.4581,                0.44591,                0.94968,                0.99812,                      1,                  0.995,                0.90304,                0.99812,                      1,                  0.995,                0.95025,                0.42224,                 0.4351,                0.35779,                0.93901,               0.000812,               0.000812,               0.000812
                     14,                0.46251,                0.47389,                0.42779,                0.94933,                0.95951,                      1,                0.99406,                0.89933,                0.95951,                      1,                0.99406,                  0.969,                0.45241,                0.44377,                 0.3827,                0.94203,               0.000713,               0.000713,               0.000713
                     15,                0.44672,                 0.4455,                0.41267,                0.94447,                0.99805,                      1,                  0.995,                0.90635,                0.99805,                      1,                  0.995,                0.96232,                0.41194,                 0.3915,                0.30941,                0.90982,               0.000614,               0.000614,               0.000614
                     16,                0.41352,                0.43866,                 0.3864,                0.93044,                0.99804,                      1,                  0.995,                0.93702,                0.99804,                      1,                  0.995,                0.96714,                0.33634,                0.38033,                0.28573,                0.85228,               0.000515,               0.000515,               0.000515
                     17,                0.36912,                0.40689,                0.37204,                0.88543,                0.99925,                      1,                  0.995,                0.94344,                0.99925,                      1,                  0.995,                0.97044,                0.35508,                0.39962,                0.27342,                0.87389,               0.000416,               0.000416,               0.000416
                     18,                0.36568,                0.41376,                0.33507,                0.89155,                0.99966,                      1,                  0.995,                0.94167,                0.99966,                      1,                  0.995,                0.97202,                0.32418,                0.36214,                0.27538,                0.84222,               0.000317,               0.000317,               0.000317
                     19,                0.35785,                0.40738,                0.32193,                0.86847,                0.99837,                      1,                  0.995,                0.95567,                0.99837,                      1,                  0.995,                0.97941,                0.31693,                0.36821,                0.25395,                0.84171,               0.000218,               0.000218,               0.000218
                     20,                 0.3272,                0.38617,                0.29981,                0.87617,                0.99834,                      1,                  0.995,                0.95492,                0.99834,                      1,                  0.995,                0.97309,                0.30221,                0.37334,                0.24358,                0.82991,               0.000119,               0.000119,               0.000119
