                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83201,                  1.537,                  1.824,                 1.1689,                      1,                0.88602,                  0.995,                0.80684,                      1,                0.88602,                  0.995,                0.89173,                 0.6131,                0.78461,                 2.2746,                 1.0213,                0.00056,                0.00056,                0.00056
                      2,                0.72281,                0.85754,                 1.0918,                 1.0638,                0.80033,                0.80645,                0.86607,                0.46052,                 0.8847,                0.74258,                0.92361,                0.74422,                 1.2882,                 2.4739,                 2.2118,                 1.7744,              0.0010836,              0.0010836,              0.0010836
                      3,                0.69685,                0.83539,                0.97924,                 1.0413,                0.92208,                0.96774,                0.97158,                0.66468,                0.92208,                0.96774,                0.97158,                0.83229,                 1.3524,                 3.0599,                 1.7883,                 1.9017,              0.0015497,              0.0015497,              0.0015497
                      4,                0.70366,                0.74903,                0.85406,                  1.054,                0.90889,                0.93548,                0.96655,                0.57967,                0.90889,                0.93548,                0.96655,                0.81055,                 1.4036,                 1.3515,                 1.4062,                 1.6751,               0.001703,               0.001703,               0.001703
                      5,                 0.6785,                0.78977,                0.75775,                 1.0226,                0.93554,                0.96774,                0.96575,                0.76286,                0.93554,                0.96774,                0.96575,                 0.8335,                0.79337,                0.85789,                0.84421,                 1.0978,               0.001604,               0.001604,               0.001604
                      6,                0.65511,                0.75465,                0.71926,                 1.0285,                0.99175,                      1,                  0.995,                0.83594,                0.99175,                      1,                  0.995,                0.92005,                0.66212,                  1.092,                0.99215,                  1.025,               0.001505,               0.001505,               0.001505
                      7,                0.61419,                0.72714,                0.62508,                 0.9894,                0.96864,                0.99661,                0.98906,                0.86792,                0.96864,                0.99661,                0.98906,                0.93429,                0.57225,                0.85062,                0.63151,                0.91055,               0.001406,               0.001406,               0.001406
                      8,                0.59629,                0.65876,                0.61771,                0.98282,                 0.9981,                      1,                  0.995,                0.83727,                 0.9981,                      1,                  0.995,                0.88014,                0.89451,                  1.222,                 0.7258,                 1.1491,               0.001307,               0.001307,               0.001307
                      9,                0.56596,                0.66959,                0.56562,                0.98466,                0.99736,                      1,                  0.995,                0.86752,                0.99736,                      1,                  0.995,                0.93584,                0.57409,                0.81617,                0.55405,                0.88937,               0.001208,               0.001208,               0.001208
                     10,                0.56671,                0.66332,                0.53279,                0.97914,                 0.9992,                      1,                  0.995,                0.89339,                 0.9992,                      1,                  0.995,                0.94328,                 0.4732,                0.59099,                0.45475,                0.85556,               0.001109,               0.001109,               0.001109
                     11,                0.46985,                0.50318,                0.57998,                 0.9653,                0.99802,                      1,                  0.995,                0.85029,                0.99802,                      1,                  0.995,                0.95644,                0.49873,                0.66143,                0.50407,                0.86798,                0.00101,                0.00101,                0.00101
                     12,                0.44766,                0.47232,                0.49979,                0.96199,                0.99663,                      1,                  0.995,                  0.908,                0.99663,                      1,                  0.995,                0.97894,                0.42304,                0.60232,                0.39859,                 0.8392,               0.000911,               0.000911,               0.000911
                     13,                0.43617,                0.45928,                0.45037,                0.95259,                0.99792,                      1,                  0.995,                0.91196,                0.99792,                      1,                  0.995,                 0.9778,                0.47859,                0.60609,                0.42498,                0.85842,               0.000812,               0.000812,               0.000812
                     14,                0.44607,                0.45506,                0.42431,                0.93779,                0.99804,                      1,                  0.995,                0.91373,                0.99804,                      1,                  0.995,                0.96812,                0.36884,                0.51692,                 0.3612,                0.80783,               0.000713,               0.000713,               0.000713
                     15,                0.40509,                0.43514,                0.41001,                0.91574,                0.99786,                      1,                  0.995,                0.91817,                0.99786,                      1,                  0.995,                0.96527,                0.39603,                0.48614,                0.28118,                0.80956,               0.000614,               0.000614,               0.000614
                     16,                0.38248,                0.41835,                0.38758,                0.89866,                0.99814,                      1,                  0.995,                0.92533,                0.99814,                      1,                  0.995,                0.98276,                0.38595,                0.48923,                0.26908,                0.80865,               0.000515,               0.000515,               0.000515
                     17,                0.36373,                0.40004,                 0.3512,                0.87036,                0.99814,                      1,                  0.995,                0.93847,                0.99814,                      1,                  0.995,                 0.9759,                0.39637,                0.47532,                0.25862,                0.79041,               0.000416,               0.000416,               0.000416
                     18,                0.33716,                0.39174,                0.33746,                0.86699,                0.99809,                      1,                  0.995,                0.94818,                0.99809,                      1,                  0.995,                0.97537,                0.34803,                0.47184,                0.21406,                0.76636,               0.000317,               0.000317,               0.000317
                     19,                0.33042,                0.38325,                0.30525,                0.86447,                0.99795,                      1,                  0.995,                0.95379,                0.99795,                      1,                  0.995,                0.98156,                0.32547,                0.47122,                0.22777,                0.76979,               0.000218,               0.000218,               0.000218
                     20,                0.31516,                0.37751,                0.29278,                0.86935,                0.99788,                      1,                  0.995,                0.95765,                0.99788,                      1,                  0.995,                0.97717,                0.32496,                0.47437,                0.22621,                0.76689,               0.000119,               0.000119,               0.000119
